145,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
146,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
147,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
148,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
149,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
150,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
151,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
152,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
153,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,ez_complete,#NAME?,,,,
154,history|grep,kafka,,,,,,,,
155,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
156,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
157,ssh,root@192.168.1.155,,,,,,,,
158,ls,,,,,,,,,
159,ping,13.230.245.62,,,,,,,,
160,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
161,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
162,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
163,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
164,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
165,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,ez_complete,,,,,
166,./kafka.sh,stop,,,,,,,,
167,mysql,#NAME?,0,#NAME?,"-PjFt%25,E92",,,,,
168,mysql,#NAME?,0,#NAME?,"-pjFt%25,E92",,,,,
169,cd,/Users/lovejia/work/thirdPart/kafka_2.12-1.0.0,,,,,,,,
170,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,ez_stat,#NAME?,,,,
171,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,ez_complete,#NAME?,,,,
172,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,ez_stat,#NAME?,,,,
173,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,ez_stat,#NAME?,,,,
174,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,ez_stat,#NAME?,,,,
175,cd,/Users/lovejia/work/thirdPart/kafka_2.12-1.0.0,,,,,,,,
176,./kafka.sh,start,,,,,,,,
177,date,+%s,,,,,,,,
178,./kafka.sh,stop,,,,,,,,
179,ps,-ef|grep,kafka,,,,,,,
180,kill,-9,29267,,,,,,,
181,ps,-ef|grep,kafka,,,,,,,
182,./kafka.sh,stop,,,,,,,,
183,kill,-9,29963,,,,,,,
184,ps,-ef|grep,kafka,,,,,,,
185,./kafka.sh,clear,,,,,,,,
186,./kafka.sh,start,,,,,,,,
187,./kafka.sh,stop,,,,,,,,
188,ps,-ef|grep,kafka,,,,,,,
189,ps,-ef|grep,kafka,,,,,,,
190,./kafka.sh,start,,,,,,,,
191,./kafka.sh,stop,,,,,,,,
192,./kafka.sh,clear,,,,,,,,
193,./kafka.sh,clear,,,,,,,,
194,./kafka.sh,start,,,,,,,,
195,./kafka.sh,topic,,,,,,,,
196,./kafka.sh,stop,,,,,,,,
197,pwd,,,,,,,,,
198,./kafka.sh,stop,,,,,,,,
199,./kafka.sh,clear,,,,,,,,
200,./kafka.sh,start,,,,,,,,
201,./kafka.sh,topic,,,,,,,,
202,df,#NAME?,,,,,,,,
203,/Volumes/CleanMyMac\,3\,3.9.4/Open\,Gatekeeper\,friendly,;,exit;,,,
204,/Volumes/CleanMyMac\,3\,3.9.4/Open\,Gatekeeper\,friendly,;,exit;,,,
205,ps,-ef|grep,ezminer,,,,,,,
206,ps,-ef|grep,ezminer,,,,,,,
207,kill,-9,54593,,,,,,,
208,ps,-ef|grep,ezminer,,,,,,,
209,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,test,#NAME?,,,,
210,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,test,#NAME?,#NAME?,a,,
211,bin/kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,test,#NAME?,#NAME?,b,,
212,bin/kafka-topics.sh,#NAME?,#NAME?,localhost:2181,,,,,,
213,bin/kafka-run-class.sh,kafka.tools.ConsumerOffsetChecker,--zookeeper=localhost:2181,#NAME?,,,,,,
214,cd,bin,,,,,,,,
215,./kafka-console-consumer.sh,#NAME?,localhost:2181,#NAME?,test,#NAME?,#NAME?,,,
216,ps,-ef|grep,consumer,,,,,,,
217,./kafka-run-class.sh,kafka.tools.ConsumerOffsetChecker,--zookeeper=localhost:2181,--group=**,,,,,,
218,./kafka-consumer-groups.sh,#NAME?,,,,,,,,
219,./kafka-consumer-groups.sh,#NAME?,,,,,,,,
220,pwd,,,,,,,,,
221,telnet,192.168.1.177,8003,,,,,,,
222,ping,192.168.1.177,,,,,,,,
223,which,cocos,,,,,,,,
224,cat,~/.bash_profile,,,,,,,,
225,vi,~/.bash_profile,,,,,,,,
226,bin/kafka-console-producer.sh,#NAME?,localhost:9092,#NAME?,from,,,,,
227,ssh,root@192.168.1.233,,,,,,,,
228,ssh,root@192.168.1.233,,,,,,,,
229,cocos,new,#NAME?,cpp,test,,,,,
230,cocos,#NAME?,,,,,,,,
231,cocos,gen-libs,,,,,,,,
232,cat,~/.gradle/init.gradle,,,,,,,,
233,rm,#NAME?,apache-flume-1.8.0-src,,,,,,,
234,cd,/Users/lovejia/work/fusion/infrastructure/ezminer-kafka/sample/package,,,,,,,,
235,ls,,,,,,,,,
236,chmod,#NAME?,bin/sampled,,,,,,,
237,bin/sampled,startCC,,,,,,,,
238,pwd,,,,,,,,,
239,ls,,,,,,,,,
240,cd,..,,,,,,,,
241,ls,,,,,,,,,
242,cd,/Users/lovejia/work/thirdPart/apache-flume-1.7.0-bin,,,,,,,,
243,ls,,,,,,,,,
244,ls,,,,,,,,,
245,cd,conf/,,,,,,,,
246,ls,,,,,,,,,
247,ls,/Volumes/mac备份\,1/华青数据/中信系统日志/nclog/F5/10.0.4.5,,,,,,,
248,pwd,,,,,,,,,
249,cd,..,,,,,,,,
250,vi,flume.sh,,,,,,,,
251,chmod,#NAME?,flume.sh,,,,,,,
252,./flume.sh,,,,,,,,,
253,rm,#NAME?,test/.flumespool,,,,,,,
254,./flume.sh,,,,,,,,,
255,rm,#NAME?,test/.flumespool,,,,,,,
256,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
257,./flume.sh,,,,,,,,,
258,rm,#NAME?,test/.flumespool,,,,,,,
259,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
260,./flume.sh,,,,,,,,,
261,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
262,rm,#NAME?,test/.flumespool,,,,,,,
263,./flume.sh,,,,,,,,,
264,rm,#NAME?,test/.flumespool,,,,,,,
265,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
266,./flume.sh,,,,,,,,,
267,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
268,rm,#NAME?,test/.flumespool,,,,,,,
269,./flume.sh,,,,,,,,,
270,mv,test/10.0.4.5.COMPLETED,test/10.0.4.6,,,,,,,
271,rm,#NAME?,test/.flumespool,,,,,,,
272,./flume.sh,,,,,,,,,
273,mv,test/10.0.4.6.COMPLETED,test/10.0.4.5,,,,,,,
274,rm,#NAME?,test/.flumespool,,,,,,,
275,./flume.sh,,,,,,,,,
276,rm,#NAME?,test/.flumespool,,,,,,,
277,mv,test/10.0.4.6.COMPLETED,test/10.0.4.5,,,,,,,
278,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
279,./flume.sh,,,,,,,,,
280,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
281,rm,#NAME?,test/.flumespool,,,,,,,
282,./flume.sh,,,,,,,,,
283,rm,#NAME?,test/.flumespool,,,,,,,
284,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
285,./flume.sh,,,,,,,,,
286,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
287,rm,#NAME?,test/.flumespool,,,,,,,
288,./flume.sh,,,,,,,,,
289,rm,#NAME?,test/.flumespool,,,,,,,
290,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
291,./flume.sh,,,,,,,,,
292,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
293,rm,#NAME?,test/.flumespool,,,,,,,
294,./flume.sh,,,,,,,,,
295,rm,#NAME?,test/.flumespool,,,,,,,
296,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
297,vi,conf/d-k.conf,,,,,,,,
298,vi,conf/d-k.conf,,,,,,,,
299,./flume.sh,,,,,,,,,
300,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
301,rm,#NAME?,test/.flumespool,,,,,,,
302,./flume.sh,,,,,,,,,
303,vi,conf/d-k.conf,,,,,,,,
304,./flume.sh,,,,,,,,,
305,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
306,rm,#NAME?,test/.flumespool,,,,,,,
307,bin/kafka-topics.sh,#NAME?,#NAME?,localhost:2181,,,,,,
308,./flume.sh,,,,,,,,,
309,./flume.sh,,,,,,,,,
310,df,#NAME?,,,,,,,,
311,ls,#NAME?,/tmp/kafka-logs/,,,,,,,
312,rm,#NAME?,test/.flumespool,,,,,,,
313,./flume.sh,,,,,,,,,
314,vi,conf/d-k.conf,,,,,,,,
315,./flume.sh,,,,,,,,,
316,ls,,,,,,,,,
317,vi,conf/d-k.conf,,,,,,,,
318,./flume.sh,,,,,,,,,
319,vi,conf/d-k.conf,,,,,,,,
320,rm,#NAME?,test/.flumespool,,,,,,,
321,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
322,./flume.sh,,,,,,,,,
323,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
324,rm,#NAME?,test/.flumespool,,,,,,,
325,vi,conf/d-k.conf,,,,,,,,
326,./flume.sh,,,,,,,,,
327,rm,#NAME?,test/.flumespool,,,,,,,
328,mv,test/10.0.4.5.COMPLETED,test/10.0.4.5,,,,,,,
329,mv,test/10.0.4.5,./,,,,,,,
330,./flume.sh,,,,,,,,,
331,cat,,,,,,,,,
